x1	x2	rgb
0.5076667520019273	-1.2063095648752478	(1.0, 0.5222769290331789, 1.0)
0.4903263883730325	-1.178355511081606	(1.0, 0.5281470731120238, 1.0)
0.48845000799851196	-1.2361872533547236	(0.9833458907747922, 0.5341722406994105, 1.0)
0.49856510037422647	-1.2069682773408938	(1.0, 0.526741282334828, 1.0)
0.4997056310605649	-1.2394546295938345	(0.9897514129122883, 0.5291290322574691, 1.0)
0.5072988346476884	-1.1557970683186614	(1.0, 0.5179208357006504, 1.0)
0.5010957531491951	-1.1565193787301413	(1.0, 0.5210250004884553, 1.0)
0.4995485695282696	-1.227934366791973	(0.9951699904470462, 0.5281590011761599, 1.0)
0.4806973097617266	-1.2329920386939444	(0.9793793874199844, 0.5375156904330036, 1.0)
0.4934207821512796	-1.2398939797931083	(0.9850783240727329, 0.532159294169685, 1.0)
0.5041511373197036	-1.1651899695179382	(1.0, 0.5203010205418751, 1.0)
0.4821584544993335	-1.1987553454164734	(0.9967685439470463, 0.5338091863448929, 1.0)
0.5038431704792722	-1.1879760837140811	(1.0, 0.5224857336622426, 1.0)
0.5123859672308867	-1.184410484995979	(1.0, 0.5179799432014168, 1.0)
0.5071454928609866	-1.1853435158791537	(1.0, 0.520638384456864, 1.0)
0.4984948870987567	-1.1733735723552117	(1.0, 0.5237795926503912, 1.0)
0.49731558686948596	-1.2021287033807622	(1.0, 0.5269080233478678, 1.0)
0.5137296379921543	-1.1430721881586834	(1.0, 0.513600006038954, 1.0)
0.5099995930447861	-1.1898570540369464	(1.0, 0.5196466302612754, 1.0)
0.4947058613834554	-1.1584680180891394	(1.0, 0.524297340559346, 1.0)
0.5087907489295578	-1.1658384976726794	(1.0, 0.5180816330091526, 1.0)
0.5238389502735028	-1.1877001358735115	(1.0, 0.5125817197350838, 1.0)
0.4936101181427845	-1.1857484555265287	(1.0, 0.527228209302586, 1.0)
0.49754633588575675	-1.1729395395853663	(1.0, 0.5242000079338467, 1.0)
0.50400387875761	-1.2034524610606907	(1.0, 0.5237992759319074, 1.0)
0.5270175360023476	-1.207583795652424	(1.0, 0.5128224547701615, 1.0)
0.5214643968720687	-1.2108630177614272	(1.0, 0.5159009177436862, 1.0)
0.5131245778616615	-1.1755529346465527	(1.0, 0.5168148378560734, 1.0)
0.5228444611940303	-1.0848298735572235	(1.0, 0.5038229640008134, 1.0)
0.4924926708553095	-1.2278412143389865	(0.9902436130390392, 0.5315138037505611, 1.0)
0.5049652106154053	-1.198568120913363	(1.0, 0.5228921481412812, 1.0)
0.495937817327347	-1.2326200287478766	(0.9903813565003038, 0.5303072500027243, 1.0)
0.49697200270469716	-1.278129634608585	(0.9686142443086022, 0.5339634318620861, 1.0)
0.48943010446708085	-1.190906376038598	(1.0, 0.5296800456727504, 1.0)
0.5114691112960645	-1.2071206332635016	(1.0, 0.520492330849112, 1.0)
0.500964732847852	-1.226264029722854	(0.9969594787263852, 0.5273283128905194, 1.0)
0.5025323983131345	-1.2087487689604586	(1.0, 0.5249893628097589, 1.0)
0.4850367341441629	-1.2733985611936143	(0.962318192618283, 0.5391210715445419, 1.0)
0.4650386008595029	-1.285245052912225	(0.9413591102458323, 0.5493316408570279, 1.0)
0.5051018095312917	-1.2267748056751204	(0.999617186298187, 0.5253814372838215, 1.0)
0.516727788345684	-1.2090981183935146	(1.0, 0.5180859284908962, 1.0)
0.49600564883633425	-1.1641583359464653	(1.0, 0.5241695656326267, 1.0)
0.5084530442223171	-1.1684537158769226	(1.0, 0.5184818435540914, 1.0)
0.5170414108900241	-1.183943545277934	(1.0, 0.51563275958705, 1.0)
0.483519334563263	-1.167423264445629	(1.0, 0.5304302082821035, 1.0)
0.5125342336368773	-1.2267798389308715	(1.0, 0.5217696459805253, 1.0)
0.5037752152860788	-1.21724859909969	(1.0, 0.5251571664201986, 1.0)
0.7536495782827279	1.4548408599335727	(1.0, 0.11926907383275154, 0.0)
0.7395535489543057	1.4453401374717187	(1.0, 0.15425625616490216, 0.0)
0.7467271636431061	1.456940417768417	(1.0, 0.13744664245118204, 0.0)
0.7747536868336042	1.4605050367216965	(1.0, 0.029620220560156913, 0.0)
